Example Student ID,Grad Date
1,6/10/2013
3,5/10/2014
5,6/10/2013
6,12/10/2013
10,12/10/2013
11,5/10/2014
12,5/10/2014
13,5/10/2013
16,6/10/2013
18,12/10/2013
19,5/10/2013
20,5/10/2013
25,6/10/2013
26,5/10/2014
27,5/10/2014
33,5/10/2013
35,5/10/2014
36,12/10/2013
37,5/10/2013
44,6/10/2013
48,5/10/2014
51,5/10/2013
55,12/10/2013
61,12/10/2013
63,5/10/2013
69,6/10/2013
71,5/10/2014
72,6/10/2013
76,12/10/2013
79,12/10/2013
81,5/10/2013
84,6/10/2013
90,12/10/2013
91,12/10/2013
93,12/10/2013
96,6/10/2013
97,5/10/2014
98,5/10/2014
99,5/10/2014
100,5/10/2014
106,5/10/2014
107,5/10/2014
108,5/10/2014
109,5/10/2014
117,5/10/2014
118,5/10/2014
119,5/10/2014
120,5/10/2014
